name,team,position,age,fantasycalcId,sleeperId,mflId,value,overallRank,positionRank,trend30day
Roschon Johnson,CHI,RB,22.619995655980468,9926,10235,16175,1734,117,31,198
Baker Mayfield,TB,QB,28.425475111618468,2737,4892,13590,1709,118,29,699
Marquise Brown,ARI,WR,26.283009357908423,3950,5848,14105,1707,119,43,-209
Cole Kmet,CHI,TE,24.518625796137748,4857,6826,14867,1692,120,12,103
Zach Charbonnet,SEA,RB,22.683009354198376,9921,9753,16169,1689,121,32,-113
Nico Collins,HOU,WR,24.49396826227169,5030,7569,15290,1684,122,44,491
Cam Akers,LAR,RB,24.233694286497972,2937,6938,14799,1676,123,33,-616
Desmond Ridder,ATL,QB,24.041913467307204,548,8159,15697,1670,124,30,-95
James Conner,ARI,RB,28.367940865043124,7447,4137,13146,1657,125,34,-277
Mike Williams,LAC,WR,28.951502508720193,8015,4068,13154,1648,126,45,-42
Zach Wilson,NYJ,QB,24.11862579870624,6731,7538,15239,1587,127,31,674
Jayden Reed,GB,WR,23.381639497368088,9863,10222,16184,1553,128,46,188
Rashee Rice,KC,WR,23.398077851122526,9929,10229,16194,1549,129,47,384
Khalil Herbert,CHI,RB,25.403557305587267,320,7608,15271,1541,130,35,-240
Luke Musgrave,GB,TE,23.03369428932014,9856,9481,16215,1539,131,13,197
David Njoku,CLE,TE,27.184379215024098,6513,4033,13192,1529,132,14,-29
Dalvin Cook,NYJ,RB,28.10218743616819,7493,4029,13128,1519,133,36,-304
Jonathan Mingo,CAR,WR,22.40355730320903,9867,10225,16197,1503,134,48,-19
Tank Bigsby,JAX,RB,22.041913466926687,9925,9225,16164,1478,135,37,81
Kendre Miller,NO,RB,21.26109154911847,9960,9757,16171,1478,136,38,5
Tyjae Spears,TEN,RB,22.250132645389396,9817,9508,16165,1461,137,39,168
2024 Round 2,null,PICK,null,9603,FP_2024_2,FP_2024_2,1453,138,6,287
AJ Dillon,GB,RB,25.373420310280313,3368,6828,14805,1451,139,40,-139
Michael Mayer,LV,TE,22.192598395769913,9931,9482,16212,1449,140,15,29
Michael Thomas,NO,WR,30.540543601059106,17,3199,12652,1425,141,49,222
Rashod Bateman,BAL,WR,23.79533812477803,7410,7571,15293,1402,142,50,-95
Tyler Lockett,SEA,WR,30.967940864821156,2019,2374,12187,1398,143,51,-391
Josh Downs,IND,WR,22.091228533009893,9936,9500,16187,1383,144,52,187
Kenneth Gainwell,PHI,RB,24.507666891996447,4476,7567,15255,1382,145,41,196
Ryan Tannehill,TEN,QB,35.14328333085997,2313,1049,10697,1355,146,32,190
Jakobi Meyers,LV,WR,26.850132645865042,2463,5947,14127,1341,147,53,216
Gabe Davis,BUF,WR,24.458351823503296,8112,6943,14845,1331,148,54,-166
Will Levis,TEN,QB,24.219995659563672,9901,9999,16149,1312,149,33,-116
Chigoziem Okonkwo,TEN,TE,24.01999565569508,722,8210,15889,1305,150,16,224
Kyren Williams,LAR,RB,23.052872371004565,7315,8150,15710,1300,151,42,754
Courtland Sutton,DEN,WR,27.93506414932141,818,5045,13630,1296,152,55,-1
Rashid Shaheed,NO,WR,25.041913467592593,2354,8676,16080,1271,153,56,341
Zay Jones,JAX,WR,28.4665710016172,3759,4080,13176,1262,154,57,392
Kadarius Toney,KC,WR,24.633694291888634,3404,7606,15289,1262,155,58,-226
2026 Round 2,null,PICK,null,9663,FP_2026_2,FP_2026_2,1256,156,7,332
Marvin Mims,DEN,WR,21.491228536022323,9955,9494,16189,1255,157,59,-159
Jalin Hyatt,NYG,WR,21.970680587677574,9851,9497,16183,1241,158,60,-117
Dalton Schultz,HOU,TE,27.18163949102613,4655,5001,13772,1239,159,17,72
Antonio Gibson,WAS,RB,25.230954563483003,7587,6945,14852,1238,160,43,-415
2025 Round 2,null,PICK,null,9633,FP_2025_2,FP_2025_2,1231,161,8,237
Darnell Mooney,CHI,WR,25.880269631849316,3901,7090,14974,1219,162,61,75
Joshua Kelley,LAC,RB,25.819995659405123,1159,7045,14807,1192,163,44,795
Brandin Cooks,DAL,WR,29.97616004528158,7088,2197,11674,1190,164,62,-181
Rondale Moore,ARI,WR,23.266571004185693,2214,7601,15283,1183,165,63,180
Aaron Rodgers,NYJ,QB,39.798077851344495,715,96,7836,1180,166,34,-1372
Tyler Higbee,LAR,TE,30.707666892408675,5467,3271,12678,1157,167,18,64
Elijah Mitchell,SF,RB,25.373420319254187,2660,7561,15263,1152,168,45,202
JuJu Smith-Schuster,NE,WR,26.814516207445457,8033,4040,13156,1148,169,64,-116
Hunter Henry,NE,TE,28.77616004296677,675,3214,12676,1122,171,19,335
Jamaal Williams,NO,RB,28.45561209408295,4085,4149,13139,1118,172,46,-86
Skyy Moore,KC,WR,23.011776478088535,1622,8168,15766,1106,173,65,-323
Gus Edwards,BAL,RB,28.428214837392186,4539,5248,13850,1094,174,47,502
Trey Lance,DAL,QB,23.351502508561644,4875,7610,15240,1089,175,35,-488
Greg Dulcich,DEN,TE,23.4720504507864,3550,8172,15797,1084,176,20,-198
Raheem Mostert,MIA,RB,31.439173741470064,6259,2749,12447,1080,177,48,450
Tutu Atwell,LAR,WR,23.940543604705734,8432,7562,15301,1076,178,66,936
Tank Dell,HOU,WR,23.880269628361237,9950,9502,16204,1069,179,67,-2
Samaje Perine,DEN,RB,28.000817576959665,3463,4147,13133,1069,180,49,5
Jaylen Warren,PIT,RB,24.87205045313293,6285,8228,15742,1066,181,50,114
Odell Beckham,BAL,WR,30.86383127562151,2245,2078,11679,1062,182,68,131
J.K. Dobbins,BAL,RB,24.74602305003805,5149,6806,14800,1055,183,51,-1603
Calvin Austin,PIT,WR,24.480269632198123,4996,8125,15777,1040,184,69,406
Sean Tucker,TB,RB,21.888488810248603,9915,9506,16166,1031,185,52,306
Jake Ferguson,DAL,TE,24.658351824010655,6785,8110,15799,1031,186,21,194
Ezekiel Elliott,NE,RB,28.15424223471588,2848,3164,12625,1012,187,53,-17
John Metchie,HOU,WR,23.15972168908549,3812,8147,15759,988,188,70,-65
Chuba Hubbard,CAR,RB,24.26383127257737,183,7594,15261,987,189,54,110
Zack Moss,IND,RB,25.751502508371384,336,6845,14798,984,190,55,764
Alec Pierce,IND,WR,23.370680590911974,5433,8142,15768,979,191,71,-105
Clyde Edwards-Helaire,KC,RB,24.43095456586124,8140,6820,14803,948,192,56,137
Zach Ertz,ARI,TE,32.85287237195586,324,1339,11247,945,193,22,159
Justice Hill,BAL,RB,25.83643401794774,5156,5995,14086,943,194,57,931
Juwan Johnson,NO,TE,27.006297022957888,5552,7002,14861,926,195,23,-117
