rank,player,team,position,age,tier,trend,value
82,Treylon Burks,TEN,WR31,23.3,Tier 13,8d,3938
83,2025 Late 1st,,PICK,,Tier 13,9u,3936
84,Chris Godwin,TBB,WR32,27.4,Tier 13,2u,3903
85,Diontae Johnson,PIT,WR33,27.0,Tier 13,2u,3892
86,J.K. Dobbins,BAL,RB19,24.6,Tier 13,4d,3889
87,Zach Charbonnet,SEA,RB20,22.5,Tier 13,3u,3866
88,Christian Kirk,JAC,WR34,26.7,Tier 13,4d,3861
89,Jameson Williams,DET,WR35,22.3,Tier 13,22d,3856
90,Amari Cooper,CLE,WR36,29.1,Tier 13,1u,3847
91,George Kittle,SFO,TE6,29.8,Tier 13,10d,3845
92,Dallas Goedert,PHI,TE7,28.6,Tier 13,4d,3842
93,Miles Sanders,CAR,RB21,26.2,Tier 13,1u,3788
94,Kirk Cousins,MIN,QB21,34.9,Tier 13,5d,3776
95,Marquise Brown,ARI,WR37,26.1,Tier 13,10d,3760
96,Joe Mixon,CIN,RB22,27.0,Tier 13,4u,3737
97,Aaron Jones,GBP,RB23,28.6,Tier 13,8u,3704
98,Rachaad White,TBB,RB24,24.2,Tier 13,2d,3690
99,Geno Smith,SEA,QB22,32.8,Tier 13,6d,3646
100,Pat Freiermuth,PIT,TE8,24.7,Tier 13,1d,3633
101,Cam Akers,LAR,RB25,24.1,Tier 13,4d,3631
102,Darren Waller,NYG,TE9,30.8,Tier 13,27u,3608
103,Aaron Rodgers,NYJ,QB23,39.6,Tier 13,7u,3597
104,Alexander Mattison,MIN,RB26,25.1,Tier 13,3d,3558
105,Sam Howell,WAS,QB24,22.8,Tier 14,18u,3493
106,Derek Carr,NOS,QB25,32.3,Tier 14,3u,3470
107,Sam LaPorta,DET,TE10,22.5,Tier 14,0,3465
108,Keenan Allen,LAC,WR38,31.2,Tier 14,6u,3462
109,D'Andre Swift,PHI,RB27,24.5,Tier 14,14d,3443
110,Isiah Pacheco,KCC,RB28,24.4,Tier 14,7d,3402
111,Mike Evans,TBB,WR39,29.9,Tier 14,0,3396
112,2023 Early 2nd,,PICK,,Tier 14,3u,3395
113,Devon Achane,MIA,RB29,21.8,Tier 14,7d,3385
114,2024 Early 2nd,,PICK,,Tier 14,8u,3338
