rank,player,team,position,age,tier,trend,rating
82,Dameon Pierce,HOU,RB17,23.4,Tier 12,2u,4056
83,Chris Godwin,TBB,WR33,27.4,Tier 12,2d,4036
84,Christian Kirk,JAC,WR34,26.7,Tier 12,2d,4035
85,J.K. Dobbins,BAL,RB18,24.6,Tier 12,16d,4000
86,Miles Sanders,CAR,RB19,26.2,Tier 13,6u,3916
87,Diontae Johnson,PIT,WR35,27.0,Tier 13,4d,3916
88,Brock Purdy,SFO,QB20,23.6,Tier 13,6u,3893
89,Marquise Brown,ARI,WR36,26.1,Tier 13,4d,3879
90,2025 Late 1st,,PICK,,Tier 13,0,3872
91,Amari Cooper,CLE,WR37,29.1,Tier 13,2d,3866
92,Kirk Cousins,MIN,QB21,34.9,Tier 13,7u,3831
93,Zach Charbonnet,SEA,RB20,22.5,Tier 13,2d,3827
94,Rachaad White,TBB,RB21,24.2,Tier 14,8u,3739
95,Geno Smith,SEA,QB22,32.8,Tier 14,0,3711
96,Dallas Goedert,PHI,TE7,28.6,Tier 14,9d,3690
97,Pat Freiermuth,PIT,TE8,24.7,Tier 14,1u,3679
98,James Cook,BUF,RB22,23.8,Tier 14,15u,3677
99,Joe Mixon,CIN,RB23,27.0,Tier 14,9u,3670
100,D'Andre Swift,PHI,RB24,24.5,Tier 15,7d,3614
101,Aaron Jones,GBP,RB25,28.6,Tier 15,1d,3606
102,Cam Akers,LAR,RB26,24.1,Tier 15,5d,3605
103,Sam LaPorta,DET,TE9,22.5,Tier 15,8u,3582
104,Aaron Rodgers,NYJ,QB23,39.6,Tier 15,3u,3558
105,Russell Wilson,DEN,QB24,34.6,Tier 15,4d,3555
106,Devon Achane,MIA,RB27,21.8,Tier 15,1d,3549
107,Alexander Mattison,MIN,RB28,25.1,Tier 15,11d,3538
108,Kendre Miller,NOS,RB29,21.1,Tier 15,5d,3517
109,Keenan Allen,LAC,WR38,31.2,Tier 16,5u,3402
110,Mike Evans,TBB,WR39,29.9,Tier 16,2u,3378
111,Isiah Pacheco,KCC,RB30,24.4,Tier 16,5d,3352
112,Mike Williams,LAC,WR40,28.8,Tier 16,3u,3344
113,Derek Carr,NOS,QB25,32.3,Tier 16,9d,3341
114,Elijah Moore,CLE,WR41,23.3,Tier 16,4u,3310
115,Darren Waller,NYG,TE10,30.8,Tier 16,19u,3303
116,David Montgomery,DET,RB31,26.1,Tier 16,6u,3275
117,2023 Early 2nd,,PICK,,Tier 16,1u,3263
118,Michael Mayer,LVR,TE11,22.0,Tier 16,2u,3250
119,Desmond Ridder,ATL,QB26,23.9,Tier 16,5u,3220
120,Mac Jones,NEP,QB27,24.9,Tier 16,3d,3214
121,DeAndre Hopkins,TEN,WR42,31.1,Tier 16,6u,3205
122,Trey Lance,SFO,QB28,23.2,Tier 16,12d,3178
123,2024 Early 2nd,,PICK,,Tier 16,0,3170
124,Rashod Bateman,BAL,WR43,23.6,Tier 16,15d,3166
125,Sam Howell,WAS,QB29,22.8,Tier 16,4d,3149
126,Alvin Kamara,NOS,RB32,28.0,Tier 16,8u,3134
127,AJ Dillon,GBP,RB33,25.2,Tier 16,1d,3123
128,Skyy Moore,KCC,WR44,22.9,Tier 16,10u,3106
129,Brian Robinson,WAS,RB34,24.3,Tier 16,8u,3103
130,Evan Engram,JAC,TE12,28.9,Tier 16,17u,3100
131,Jonathan Mingo,CAR,WR45,22.2,Tier 16,6d,3083
132,Gabriel Davis,BUF,WR46,24.3,Tier 17,12u,3004
133,Antonio Gibson,WAS,RB35,25.1,Tier 17,5d,3003
134,Kadarius Toney,KCC,WR47,24.5,Tier 17,18d,2974
135,Khalil Herbert,CHI,RB36,25.2,Tier 17,4u,2931
136,Tank Bigsby,JAC,RB37,21.9,Tier 17,7u,2925
137,Marvin Mims,DEN,WR48,21.3,Tier 17,11u,2923
138,Rashee Rice,KCC,WR49,23.2,Tier 17,13u,2911
139,Greg Dulcich,DEN,TE13,23.3,Tier 17,10d,2893
140,David Njoku,CLE,TE14,27.0,Tier 17,2u,2870
141,2023 Mid 2nd,,PICK,,Tier 17,5d,2842
142,Tyler Lockett,SEA,WR50,30.8,Tier 17,11d,2833
143,Will Levis,TEN,QB30,24.1,Tier 17,11d,2833
144,Chigoziem Okonkwo,TEN,TE15,23.9,Tier 17,14d,2818
145,Cole Kmet,CHI,TE16,24.4,Tier 17,19u,2806
146,Dalvin Cook,FA,RB38,28.0,Tier 17,14d,2773
147,Roschon Johnson,CHI,RB39,22.5,Tier 17,6d,2763
148,James Conner,ARI,RB40,28.2,Tier 17,1u,2752
149,2024 Mid 2nd,,PICK,,Tier 17,9d,2747
150,2025 Early 2nd,,PICK,,Tier 17,4d,2719
151,Romeo Doubs,GBP,WR51,23.3,Tier 18,6d,2648
152,John Metchie,HOU,WR51,23.0,Tier 18,2d,2648
153,Jalin Hyatt,NYG,WR53,21.8,Tier 18,16u,2607
154,Matthew Stafford,LAR,QB31,35.4,Tier 19,1u,2529
155,Josh Downs,IND,WR54,21.9,Tier 19,2d,2525
156,Brandin Cooks,DAL,WR55,29.8,Tier 19,12u,2521
157,Nico Collins,HOU,WR55,24.3,Tier 19,9u,2521
158,2023 Late 2nd,,PICK,,Tier 19,6d,2508
159,Alec Pierce,IND,WR57,23.2,Tier 19,3u,2500
160,JuJu Smith-Schuster,NEP,WR58,26.7,Tier 19,4d,2499
161,Jayden Reed,GBP,WR59,23.2,Tier 19,7d,2484
162,Rashaad Penny,PHI,RB41,27.5,Tier 19,10u,2478
163,2025 Mid 2nd,,PICK,,Tier 20,6d,2422
164,Darnell Mooney,CHI,WR60,25.7,Tier 20,6d,2398
165,Courtland Sutton,DEN,WR61,27.8,Tier 20,4d,2395
166,Rondale Moore,ARI,WR62,23.1,Tier 20,7d,2382
167,Jakobi Meyers,LVR,WR63,26.7,Tier 20,4u,2376
168,Tyler Allgeier,ATL,RB42,23.3,Tier 20,2u,2364
169,Tyjae Spears,TEN,RB42,22.1,Tier 20,9d,2364
170,Jimmy Garoppolo,LVR,QB32,31.7,Tier 20,3u,2335
171,Dalton Schultz,HOU,TE17,27.0,Tier 20,3u,2333
172,Wan'Dale Robinson,NYG,WR64,22.5,Tier 20,5d,2326
173,Isaiah Likely,BAL,TE18,23.3,Tier 20,8u,2324
